CODIGO_ESTADO;ESTADO;CODIGO_MUNICIPIO;MUNICIPIO;CODIGO_PARROQUIA;PARROQUIA;CODIGO_CENTRO;CENTRO;DIRECCION;CANTIDAD_MESAS;MESAS_AUTO;VENEZOLANOS;EXTRANJEROS;ELECTORES;TRANSMISION
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;1;PQ. ALTAGRACIA;10101001;UNIDAD EDUCATIVA DISTRITAL MADARIAGA;SECTOR ALTAGRACIA DERECHA CALLE CONCORDIA. IZQUIERDA CALLE DELICIAS. FRENTE CALLE DELICIAS A CONCORDIA AL FRENTE EL INCA O ESTADIO GALARRAGA CASA;4;4;2173;0;2173;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;1;PQ. ALTAGRACIA;10101002;UNIDAD EDUCATIVA SANTA BARBARA;SECTOR: SANTA BARBARA. FRENTE CALLE PARAISO. IZQUIERDA CALLE DOCTOR GONZALEZ. DERECHA CALLE PARAISO. REFERENCIA FRENTE ESQUINAS DOCTOR GONZµLEZ A PARA÷SO;4;4;2303;0;2303;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;1;PQ. ALTAGRACIA;10101003;UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE;SECTOR TIENDA HONDA DERECHA CALLE JESUITA. IZQUIERDA CALLE SANTA BARBARA. FRENTE CALLE TIENDA HONDA FRENTE ESQUINAS ESTE CINCO TIENDA HONDA A ESTE CINCO SANTA BARBARA, EDIFICIO;12;12;6562;0;6562;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;1;PQ. ALTAGRACIA;10101004;UNIDAD EDUCATIVA NACIONAL DOCTOR FRANCISCO MENDOZA;SECTOR CASCO UNO DERECHA CALLE CEIBA. IZQUIERDA CALLE PORVENIR. FRENTE CALLE CEIBA A PORVENIR FRENTE  CASA DE LA ALIMENTACI‡N Y MISI‡N VUELVAN CARAS CASA;3;3;1684;0;1684;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;1;PQ. ALTAGRACIA;10101006;COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA;URBANIZACI‡N ALTAGRACIA DERECHA CALLE MERCEDES. IZQUIERDA CALLE MERCEDES. FRENTE CALLE MIJARES LATERAL AL BANCO CENTRAL DE VENEZUELA Y DIAGONAL A LA IGLESIA LAS MERCEDES EDIFICIO;9;9;4821;0;4821;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;1;PQ. ALTAGRACIA;10101007;ESCUELA NACIONAL DE ARTES ESCêNICAS CESAR RENGIFO;SECTOR: ESQUINA EL CU•0. FRENTE CALLE EL CU•O. IZQUIERDA CALLE CAJA DE AGUA. DERECHA CALLE EL CU•O. REFERENCIA DIAGONAL A LA JUNTA PARROQUIAL DE ALTAGRACIA;4;4;2197;0;2197;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;1;PQ. ALTAGRACIA;10101008;UNIDAD EDUCATIVA NACIONL SIM‡N BOL÷VAR;SECTOR: EL CUNO. FRENTE CALLE CUNO A GUANABANO. IZQUIERDA CALLEJ‡N CUNO. DERECHA CALLEJ‡N GUANABANO. REFERENCIA FRENTE OESTE NUEVE Y ESQUINA CU•O A GUANABANO;8;8;4505;0;4505;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;1;PQ. ALTAGRACIA;10101009;UNIDAD EDUCATIVA SANTA TERESA DEL NI•O JESÈS;SECTOR: ALTAGRACIA. FRENTE CALLE SANTA BARBARA. IZQUIERDA CALLE SANTA BARBARA A CANONIGO. DERECHA AVENIDA PANTEON. REFERENCIA ENTRE PANADER÷A PUENTE PµEZ E IGLESIA SANT÷SIMA TRINIDAD;4;4;2290;0;2290;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;1;PQ. ALTAGRACIA;10101010;CENTRO DE EDUCACI‡N INICIAL RAFAEL MARIA BARALT;URBANIZACI‡N: CARABALLO. FRENTE PASAJE BLOQUE 1. IZQUIERDA CALLE LOS CUJICITOS. DERECHA CALLE LOS CUJICITOS. REFERENCIA FRENTE AL CENTRO DE DIAGNOSTICO INTEGRAL (CDI);3;3;1287;0;1287;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;1;PQ. ALTAGRACIA;10101025;CENTRO MUNICIPAL DE ATENCI‡N INTEGRAL ALTAGRACIA (CMAI);SECTOR EL RETIRO FRENTE AVENIDA COTA MIL. DERECHA CALLE LOS EUCALIPTUS. IZQUIERDA CALLE SEGUNDA CALLE EL RETIRO INICIO DE AVENIDA  COTA MIL FRENTE RESIDENCIAS VILLA DEL SUR, DIAGONAL PARADA DE AUTOBUSES COTIZA CASA;2;2;893;0;893;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;1;PQ. ALTAGRACIA;10101026;CENTRO DE EDUCACI‡N INICIAL SAMUEL ROBINS‡N;SECTOR EL RETIRO DERECHA CALLE TERRAZA A. IZQUIERDA CALLE PRIMERA CALLE EL RETIRO. FRENTE TRANSVERSAL ENTRE EL RETIRO Y TERRAZA A FINAL AVENIDA BARALT CON PRIMERA CALLE DEL RETIRO CASA;2;2;817;0;817;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;1;PQ. ALTAGRACIA;10101027;UNIDAD EDUCATIVA DISTRITAL ANTONIO ORNES;BARRIO: COTIZA. FRENTE CALLE LOS EUCALIPTUS. IZQUIERDA ESCALERA SAN JUDA. DERECHA ESCALERA SAN MARCOS. REFERENCIA FRENTE AL PARQUE ANDRES GALARRAGA;3;3;1421;0;1421;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;1;PQ. ALTAGRACIA;10101028;BIBLIOTECA NACIONAL SALA UNO;SECTOR PANTEON FRENTE AVENIDA PANTEON. DERECHA CALLE CARIDAD. IZQUIERDA CALLE REMEDIO FRENTE AL FINAL DE LA AVENIDA PANTE‡N, EDIFICIO;4;4;2132;0;2132;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;1;PQ. ALTAGRACIA;10101030;DESARROLLO URBANISTICO ALTAGRACIA IV;FRENTE AVENIDA NORTE 3 ESQUINA ESPERANZA;1;1;139;0;139;T
1;DTTO. CAPITAL;1;CE. BLVNO LIBERTADOR;1;PQ. ALTAGRACIA;10101031;CASA DE NUESTRA AMERICA JOSE MARTI;URBANIZACI‡N CASCO II DERECHA AVENIDA URDANETA. IZQUIERDA CALLE JESUITA. FRENTE BULEVAR PANTEON FRENTE A LA CASA DE HISTORIA FUNDACION MENDOZA CASA;3;3;1376;0;1376;T
